reclat,reclon,
-78.88201,42.87853,
-78.88203,42.87854,
-78.88204,42.87855,
-78.88206,42.87856,
-78.88207,42.87856,
-78.88208,42.87857,
-78.88210,42.87858,
-78.88211,42.87858,
-78.88212,42.87858,
-78.88213,42.87859,
-78.88214,42.87859,
-78.88215,42.87859,
-78.88217,42.87858,
-78.88219,42.87858,
-78.88220,42.87857,
-78.88222,42.87856,
-78.88223,42.87856,
-78.88224,42.87855,
-78.88226,42.87854,
-78.88227,42.87853,
-78.88228,42.87852,
-78.88229,42.87851,
-78.88231,42.87850,
-78.88232,42.87849,
-78.88232,42.87848,
-78.88233,42.87847,
-78.88234,42.87846,
-78.88234,42.87846,
-78.88234,42.87845,
-78.88235,42.87845,
-78.88235,42.87845,
-78.88235,42.87844,
-78.88235,42.87844,
-78.88235,42.87844,
-78.88236,42.87844,
-78.88236,42.87844,
-78.88236,42.87843,
-78.88236,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88238,42.87844,
-78.88238,42.87844,
-78.88238,42.87844,
-78.88238,42.87844,
-78.88238,42.87844,
-78.88239,42.87843,
-78.88239,42.87843,
-78.88239,42.87843,
-78.88238,42.87843,
-78.88237,42.87843,
-78.88237,42.87843,
-78.88236,42.87843,
-78.88235,42.87843,
-78.88235,42.87844,
-78.88235,42.87845,
-78.88235,42.87845,
-78.88235,42.87846,
-78.88235,42.87846,
-78.88235,42.87845,
-78.88236,42.87845,
-78.88236,42.87845,
-78.88236,42.87845,
-78.88236,42.87845,
-78.88236,42.87844,
-78.88236,42.87845,
-78.88236,42.87844,
-78.88236,42.87845,
-78.88236,42.87845,
-78.88236,42.87845,
-78.88236,42.87846,
-78.88237,42.87847,
-78.88237,42.87847,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88237,42.87848,
-78.88236,42.87848,
-78.88236,42.87848,
-78.88236,42.87848,
-78.88236,42.87848,
-78.88236,42.87848,
